time(s), awa_raw (rad), awa_filtered (rad), true heading (rad)
395.395261,-1.01229095458984,-0.92319262400404,3.53914976119995
395.594191,-1.01229095458984,-0.92998855740577,3.52995610237122
395.794291,-1.01229095458984,-0.936267350749121,3.52462673187256
395.994223,-1.00079376291793,-0.940844185913152,3.51688432693481
396.194211,-0.987684385071891,-0.944232438951935,3.50337696075439
396.394188,-0.974576677449778,-0.94649189753718,3.49487733840942
396.594163,-0.961465608148928,-0.94751790685687,3.48922991752625
396.794272,-0.959930896759033,-0.948453917713419,3.49040365219116
396.994207,-0.959930896759033,-0.949326139734882,3.49417686462402
397.194195,-0.957035347859117,-0.949849267466673,3.48708581924438
397.394172,-0.943927706099823,-0.94928631849994,3.47226524353027
397.594155,-0.930817481558674,-0.947607393784607,3.45976853370667
397.794267,-0.925024509429932,-0.94589004139339,3.44590520858765
397.994192,-0.919065096537993,-0.943696068484881,3.43386006355286
398.194177,-0.892849945704455,-0.939603905754607,3.42289662361145
398.394164,-0.866628654604312,-0.933531924010614,3.4099383354187
398.594141,-0.818201725462127,-0.923903531978367,3.40039587020874
398.794241,-0.761810082923804,-0.911377696292974,3.39419507980347
398.994183,-0.735594169530639,-0.897799033881319,3.39550399780273
399.194162,-0.697547770043983,-0.88192981720619,3.39308643341064
399.39414,-0.680678367614746,-0.866718374516906,3.38526129722595
399.594124,-0.67439150470112,-0.851909989234214,3.37594628334045
399.794237,-0.648153564426359,-0.836216010107704,3.3725311756134
399.994169,-0.645771980285645,-0.821940656880179,3.37478399276733
400.194145,-0.638199446359692,-0.807863459884482,3.37502431869507
400.394131,-0.625090663482118,-0.793851604699811,3.37493109703064
400.594118,-0.611979264141019,-0.779905458748428,3.37271499633789
400.794215,-0.610865116119385,-0.767214747452612,3.37153720855713
400.99415,-0.610865116119385,-0.755378736162512,3.37065839767456
401.194135,-0.614180129600279,-0.744671649652881,3.36812973022461
401.394121,-0.627288508957473,-0.735778975254536,3.37245321273804
401.594099,-0.628318309783936,-0.727700949813162,3.37759375572205
401.794201,-0.636064227156207,-0.720931036019165,3.38429093360901
401.994141,-0.645771980285645,-0.715181826447266,3.39012336730957
402.19412,-0.645771980285645,-0.709868997949967,3.39991760253906
402.394099,-0.657935647960215,-0.706262230818031,3.40880179405212
402.594081,-0.678867769148729,-0.704559109162454,3.4154098033905
402.794151,-0.701616421173139,-0.704415344054689,3.42595958709717
402.994118,-0.714726325761455,-0.705271444148589,3.4363431930542
403.194106,-0.727834281698339,-0.707272195138807,3.44506072998047
403.394091,-0.740944064202811,-0.710018277567265,3.45159220695496
403.594077,-0.75761890912534,-0.713827781506588,3.45761108398438
